"","genus","species","latbi","commonName","symbol","phase","year","doy","numYs","plantNickname"
"860","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","coloredLeaves",2015,280,1,"20645*A"
"866","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafDrop",2015,280,1,"12565*C"
"867","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafout",2015,204,1,"12565*C"
"868","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","coloredLeaves",2015,280,1,"12565*C"
"880","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafout",2015,248,1,"689-2010*A"
"883","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","coloredLeaves",2015,279,1,"689-2010*A"
"885","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","recentFruitOrSeedDrop",2015,279,1,"689-2010*A"
"888","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","budburst",2016,105,1,"12651*C"
"893","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","ripeFruits",2016,274,1,"12651*C"
"895","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","increasingLeafSize",2016,113,1,"12651*C"
"899","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2016,282,1,"12651*C"
"900","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2016,303,1,"12651*C"
"902","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2016,108,1,"12651*C"
"903","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2016,303,1,"12651*C"
"905","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2016,274,1,"12651*C"
"906","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2016,303,1,"12651*C"
"907","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","flowers",2016,110,1,"12651*C"
"908","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","flowers",2016,122,1,"12651*C"
"910","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","openFlowers",2016,130,1,"12651*C"
"913","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2016,274,1,"12651*C"
"914","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2016,303,1,"12651*C"
"915","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2016,156,1,"12651*C"
"916","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2016,179,1,"12651*C"
"919","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","budburst",2016,111,1,"12651*D"
"920","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","budburst",2016,119,1,"12651*D"
"923","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","ripeFruits",2016,262,1,"12651*D"
"925","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","increasingLeafSize",2016,112,1,"12651*D"
"926","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","increasingLeafSize",2016,142,1,"12651*D"
"936","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2016,282,1,"12651*D"
"937","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2016,303,1,"12651*D"
"938","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2016,112,1,"12651*D"
"939","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2016,148,1,"12651*D"
"941","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2016,260,1,"12651*D"
"942","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2016,274,1,"12651*D"
"943","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","flowers",2016,113,1,"12651*D"
"945","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","openFlowers",2016,130,1,"12651*D"
"947","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2016,260,1,"12651*D"
"948","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2016,303,1,"12651*D"
"950","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2016,156,1,"12651*D"
"951","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2016,179,1,"12651*D"
"952","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2016,262,1,"12651*D"
"955","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","budburst",2016,110,1,"12651*H"
"961","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","ripeFruits",2016,262,1,"12651*H"
"963","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","increasingLeafSize",2016,112,1,"12651*H"
"964","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","increasingLeafSize",2016,142,1,"12651*H"
"975","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2016,279,1,"12651*H"
"976","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2016,303,1,"12651*H"
"978","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2016,112,1,"12651*H"
"979","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2016,148,1,"12651*H"
"982","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2016,262,1,"12651*H"
"983","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","flowers",2016,112,1,"12651*H"
"985","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","openFlowers",2016,130,1,"12651*H"
