"genus","species","Common_Name","id","year","lat","long","elev","budburst","flowers","fruits","leafout","col.leaves","leafdrop","last.obs","gdd.start"
"Betula","alleghaniensis","yellow birch",85764,2015,42.301922,-71.123932,36,NA,178,191,NA,247,250,250,46
"Betula","alleghaniensis","yellow birch",85764,2016,42.301922,-71.123932,36,102,111,187,114,260,260,260,46
"Betula","alleghaniensis","yellow birch",85764,2017,42.301922,-71.123932,36,102,108,144,117,218,253,253,46
"Betula","alleghaniensis","yellow birch",85764,2018,42.301922,-71.123932,36,114,118,159,121,264,277,277,46
"Betula","alleghaniensis","yellow birch",85764,2019,42.301922,-71.123932,36,106,109,141,110,261,261,261,46
"Betula","alleghaniensis","yellow birch",85764,2020,42.301922,-71.123932,36,105,196,NA,119,220,244,244,46
"Betula","nigra","river birch",86258,2015,42.301922,-71.123932,36,NA,NA,NA,NA,282,282,282,46
"Betula","nigra","river birch",86258,2016,42.301922,-71.123932,36,114,124,NA,132,281,281,281,46
"Betula","nigra","river birch",86258,2017,42.301922,-71.123932,36,100,112,149,118,235,241,241,46
"Betula","nigra","river birch",86258,2018,42.301922,-71.123932,36,125,122,154,125,294,294,294,46
"Betula","nigra","river birch",86258,2019,42.301922,-71.123932,36,112,111,155,126,264,249,249,46
"Betula","nigra","river birch",86258,2020,42.301922,-71.123932,36,126,85,160,128,271,271,271,46
"Betula","nigra","river birch",86259,2015,42.301922,-71.123932,36,NA,150,NA,NA,218,270,270,46
"Betula","nigra","river birch",86259,2016,42.301922,-71.123932,36,111,111,161,127,210,260,260,46
"Betula","nigra","river birch",86259,2017,42.301922,-71.123932,36,100,112,139,108,202,202,202,46
"Betula","nigra","river birch",86259,2018,42.301922,-71.123932,36,118,122,151,125,243,243,243,46
"Betula","nigra","river birch",86259,2019,42.301922,-71.123932,36,107,114,150,122,214,214,214,46
"Betula","nigra","river birch",86259,2020,42.301922,-71.123932,36,126,120,160,128,197,197,197,46
"Betula","nigra","river birch",86259,2022,42.301922,-71.123932,36,NA,105,NA,NA,NA,NA,NA,46
"Betula","nigra","river birch",86259,2024,42.301922,-71.123932,36,110,111,NA,124,NA,NA,NA,46
"Betula","nigra","river birch",86260,2015,42.301922,-71.123932,36,142,150,NA,313,218,240,240,46
"Betula","nigra","river birch",86260,2016,42.301922,-71.123932,36,111,114,147,125,246,260,260,46
"Betula","nigra","river birch",86260,2017,42.301922,-71.123932,36,101,109,136,117,209,230,230,46
"Betula","nigra","river birch",86260,2018,42.301922,-71.123932,36,118,122,138,122,250,257,257,46
"Betula","nigra","river birch",86260,2019,42.301922,-71.123932,36,107,107,152,122,230,230,230,46
"Betula","nigra","river birch",86260,2020,42.301922,-71.123932,36,126,120,147,133,197,197,197,46
"Betula","nigra","river birch",86260,2021,42.301922,-71.123932,36,114,114,134,122,261,261,261,46
"Betula","nigra","river birch",86260,2022,42.301922,-71.123932,36,103,103,147,125,238,215,215,46
"Betula","nigra","river birch",86260,2023,42.301922,-71.123932,36,104,101,139,108,231,235,235,46
"Betula","nigra","river birch",86260,2024,42.301922,-71.123932,36,121,104,NA,121,257,257,257,46
"Betula","nigra","river birch",86261,2015,42.301922,-71.123932,36,NA,150,NA,NA,250,270,270,46
"Betula","nigra","river birch",86261,2016,42.301922,-71.123932,36,114,124,NA,130,279,289,289,46
"Betula","nigra","river birch",86261,2017,42.301922,-71.123932,36,100,118,149,118,250,247,247,46
"Betula","nigra","river birch",86261,2018,42.301922,-71.123932,36,122,122,154,122,272,272,272,46
"Betula","nigra","river birch",86261,2019,42.301922,-71.123932,36,111,111,NA,126,237,251,251,46
"Betula","nigra","river birch",86261,2020,42.301922,-71.123932,36,126,120,160,128,258,271,271,46
"Betula","nigra","river birch",87754,2015,42.301922,-71.123932,36,NA,150,NA,NA,218,240,240,46
"Betula","nigra","river birch",87754,2016,42.301922,-71.123932,36,112,124,162,130,281,284,284,46
"Betula","nigra","river birch",87754,2017,42.301922,-71.123932,36,101,125,149,118,230,241,241,46
"Betula","nigra","river birch",87754,2018,42.301922,-71.123932,36,122,125,154,125,251,256,256,46
"Betula","nigra","river birch",87754,2019,42.301922,-71.123932,36,110,112,157,126,237,239,239,46
"Betula","nigra","river birch",87754,2020,42.301922,-71.123932,36,126,120,160,126,226,271,271,46
"Carya","glabra","pignut hickory",86262,2016,42.30024,-71.12606,33,NA,143,150,143,285,NA,285,46
"Carya","glabra","pignut hickory",86262,2017,42.30024,-71.12606,33,118,126,251,120,251,NA,251,46
"Carya","glabra","pignut hickory",86262,2018,42.30024,-71.12606,33,123,126,153,126,249,256,256,46
"Carya","glabra","pignut hickory",86262,2019,42.30024,-71.12606,33,111,124,151,124,261,264,264,46
"Carya","glabra","pignut hickory",86262,2020,42.30024,-71.12606,33,125,149,168,136,262,NA,262,46
"Carya","glabra","pignut hickory",86262,2021,42.30024,-71.12606,33,NA,131,NA,136,265,NA,265,46
"Carya","glabra","pignut hickory",86262,2022,42.30024,-71.12606,33,119,136,157,126,NA,NA,NA,46
"Carya","glabra","pignut hickory",86262,2023,42.30024,-71.12606,33,NA,129,150,129,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2016,42.30024,-71.12606,33,118,122,150,118,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2017,42.30024,-71.12606,33,110,118,166,118,253,253,253,46
"Carya","glabra","pignut hickory",86263,2018,42.30024,-71.12606,33,118,122,153,122,258,258,258,46
"Carya","glabra","pignut hickory",86263,2019,42.30024,-71.12606,33,108,128,145,111,253,264,264,46
"Carya","glabra","pignut hickory",86263,2020,42.30024,-71.12606,33,125,127,168,127,259,NA,259,46
"Carya","glabra","pignut hickory",86263,2021,42.30024,-71.12606,33,113,131,146,115,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2022,42.30024,-71.12606,33,114,126,NA,116,251,NA,251,46
"Carya","glabra","pignut hickory",86263,2023,42.30024,-71.12606,33,104,NA,NA,112,NA,NA,NA,46
"Carya","glabra","pignut hickory",86263,2024,42.30024,-71.12606,33,NA,NA,NA,123,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2016,42.30024,-71.12606,33,110,NA,166,118,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2017,42.30024,-71.12606,33,100,NA,241,114,253,253,253,46
"Carya","glabra","pignut hickory",86264,2018,42.30024,-71.12606,33,119,NA,153,122,249,256,256,46
"Carya","glabra","pignut hickory",86264,2019,42.30024,-71.12606,33,108,132,188,111,251,264,264,46
"Carya","glabra","pignut hickory",86264,2020,42.30024,-71.12606,33,119,NA,220,127,262,NA,262,46
"Carya","glabra","pignut hickory",86264,2021,42.30024,-71.12606,33,NA,NA,146,113,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2022,42.30024,-71.12606,33,112,126,NA,116,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2023,42.30024,-71.12606,33,104,NA,137,104,NA,NA,NA,46
"Carya","glabra","pignut hickory",86264,2024,42.30024,-71.12606,33,NA,NA,NA,123,NA,NA,NA,46
"Carya","glabra","pignut hickory",86265,2015,42.30024,-71.12606,33,NA,NA,161,NA,NA,NA,NA,46
"Carya","glabra","pignut hickory",86265,2016,42.30024,-71.12606,33,122,130,150,122,285,285,285,46
"Carya","glabra","pignut hickory",86265,2017,42.30024,-71.12606,33,100,118,166,118,253,253,253,46
"Carya","glabra","pignut hickory",86265,2018,42.30024,-71.12606,33,NA,131,153,123,258,288,288,46
"Carya","glabra","pignut hickory",86265,2019,42.30024,-71.12606,33,108,128,155,115,260,264,264,46
"Carya","glabra","pignut hickory",86265,2020,42.30024,-71.12606,33,125,127,168,127,251,NA,251,46
"Carya","glabra","pignut hickory",86265,2021,42.30024,-71.12606,33,118,126,152,123,243,270,270,46
"Carya","glabra","pignut hickory",86265,2022,42.30024,-71.12606,33,114,126,NA,116,251,NA,251,46
"Carya","glabra","pignut hickory",86265,2023,42.30024,-71.12606,33,104,NA,NA,112,NA,NA,NA,46
"Carya","glabra","pignut hickory",86265,2024,42.30024,-71.12606,33,NA,128,NA,123,NA,NA,NA,46
"Carya","glabra","pignut hickory",86266,2016,42.30024,-71.12606,33,118,118,150,122,285,285,285,46
"Carya","glabra","pignut hickory",86266,2017,42.30024,-71.12606,33,100,117,147,117,253,253,253,46
"Carya","glabra","pignut hickory",86266,2018,42.30024,-71.12606,33,118,122,153,122,258,288,288,46
"Carya","glabra","pignut hickory",86266,2019,42.30024,-71.12606,33,108,115,145,111,251,264,264,46
"Carya","glabra","pignut hickory",86266,2020,42.30024,-71.12606,33,124,126,156,126,260,NA,260,46
"Carya","glabra","pignut hickory",86266,2021,42.30024,-71.12606,33,113,131,146,113,265,NA,265,46
"Carya","glabra","pignut hickory",86266,2022,42.30024,-71.12606,33,114,126,146,119,NA,NA,NA,46
"Carya","glabra","pignut hickory",86266,2023,42.30024,-71.12606,33,104,118,NA,112,NA,NA,NA,46
"Carya","glabra","pignut hickory",86266,2024,42.30024,-71.12606,33,119,128,147,119,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86268,2015,42.30024,-71.12606,33,NA,NA,161,NA,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86268,2016,42.30024,-71.12606,33,130,142,150,131,284,295,295,46
"Carya","ovata","shagbark hickory",86268,2017,42.30024,-71.12606,33,105,124,172,118,278,264,264,46
"Carya","ovata","shagbark hickory",86268,2018,42.30024,-71.12606,33,118,125,171,125,272,279,279,46
"Carya","ovata","shagbark hickory",86268,2019,42.30024,-71.12606,33,110,124,188,121,260,264,264,46
"Carya","ovata","shagbark hickory",86268,2020,42.30024,-71.12606,33,125,140,169,134,276,NA,276,46
"Carya","ovata","shagbark hickory",86268,2022,42.30024,-71.12606,33,NA,NA,NA,126,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86269,2016,42.30024,-71.12606,33,130,143,NA,132,284,295,295,46
"Carya","ovata","shagbark hickory",86269,2017,42.30024,-71.12606,33,105,118,172,118,264,264,264,46
"Carya","ovata","shagbark hickory",86269,2018,42.30024,-71.12606,33,118,125,158,125,272,279,279,46
"Carya","ovata","shagbark hickory",86269,2019,42.30024,-71.12606,33,108,124,160,124,248,264,264,46
"Carya","ovata","shagbark hickory",86269,2020,42.30024,-71.12606,33,125,141,168,134,276,NA,276,46
"Carya","ovata","shagbark hickory",86269,2022,42.30024,-71.12606,33,NA,NA,NA,126,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86270,2015,42.30024,-71.12606,33,NA,NA,169,NA,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86270,2016,42.30024,-71.12606,33,110,127,200,127,278,289,289,46
"Carya","ovata","shagbark hickory",86270,2017,42.30024,-71.12606,33,105,117,172,117,253,253,253,46
"Carya","ovata","shagbark hickory",86270,2018,42.30024,-71.12606,33,122,125,239,125,272,279,279,46
"Carya","ovata","shagbark hickory",86270,2019,42.30024,-71.12606,33,108,119,160,119,260,264,264,46
"Carya","ovata","shagbark hickory",86270,2020,42.30024,-71.12606,33,125,129,170,129,262,NA,262,46
"Carya","ovata","shagbark hickory",86270,2021,42.30024,-71.12606,33,115,NA,NA,124,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86270,2022,42.30024,-71.12606,33,116,131,147,126,258,NA,258,46
"Carya","ovata","shagbark hickory",86270,2023,42.30024,-71.12606,33,NA,118,NA,138,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86271,2015,42.30024,-71.12606,33,NA,NA,161,NA,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86271,2016,42.30024,-71.12606,33,130,143,NA,132,278,284,284,46
"Carya","ovata","shagbark hickory",86271,2017,42.30024,-71.12606,33,105,118,172,118,260,264,264,46
"Carya","ovata","shagbark hickory",86271,2018,42.30024,-71.12606,33,118,125,158,125,272,279,279,46
"Carya","ovata","shagbark hickory",86271,2019,42.30024,-71.12606,33,108,119,160,124,260,264,264,46
"Carya","ovata","shagbark hickory",86271,2020,42.30024,-71.12606,33,125,NA,169,136,250,NA,250,46
"Carya","ovata","shagbark hickory",86271,2021,42.30024,-71.12606,33,115,NA,NA,124,270,NA,270,46
"Carya","ovata","shagbark hickory",86271,2022,42.30024,-71.12606,33,NA,NA,NA,126,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86272,2015,42.30024,-71.12606,33,NA,NA,161,NA,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86272,2016,42.30024,-71.12606,33,125,143,150,132,285,295,295,46
"Carya","ovata","shagbark hickory",86272,2017,42.30024,-71.12606,33,112,120,172,118,253,293,293,46
"Carya","ovata","shagbark hickory",86272,2018,42.30024,-71.12606,33,118,125,156,125,274,282,282,46
"Carya","ovata","shagbark hickory",86272,2019,42.30024,-71.12606,33,108,121,145,124,260,264,264,46
"Carya","ovata","shagbark hickory",86272,2020,42.30024,-71.12606,33,125,129,167,134,273,NA,273,46
"Carya","ovata","shagbark hickory",86272,2021,42.30024,-71.12606,33,115,NA,NA,NA,NA,NA,NA,46
"Carya","ovata","shagbark hickory",86272,2022,42.30024,-71.12606,33,114,129,152,126,286,NA,286,46
"Carya","ovata","shagbark hickory",86272,2023,42.30024,-71.12606,33,NA,NA,NA,138,NA,NA,NA,46
"Fagus","grandifolia","American beech",86273,2016,42.298065,-71.122131,21,101,111,177,115,282,282,282,46
"Fagus","grandifolia","American beech",86273,2017,42.298065,-71.122131,21,109,NA,NA,113,NA,NA,NA,46
"Fagus","grandifolia","American beech",86274,2016,42.298065,-71.122131,21,115,111,NA,115,282,290,290,46
"Fagus","grandifolia","American beech",86274,2017,42.298065,-71.122131,21,108,118,159,117,278,278,278,46
